Keywords,Date and Time,Source,Event ID,Task Category
Audit Success,20/05/2026 21:41:03,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x429BC

User:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42

Process Information:
	Process ID:		0x51c
	Process Name:		C:\Windows\System32\mmc.exe"
Audit Success,20/05/2026 21:41:03,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x42A0D

User:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42

Process Information:
	Process ID:		0x122c
	Process Name:		C:\Windows\explorer.exe"
Audit Success,20/05/2026 21:40:42,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x429BC

User:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42

Process Information:
	Process ID:		0x51c
	Process Name:		C:\Windows\System32\mmc.exe"
Audit Success,20/05/2026 21:38:05,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x42A0D

Additional Information:
	Caller Workstation:	DESKTOP-0NVBQ42
	Target Account Name:	WDAGUtilityAccount
	Target Account Domain:	DESKTOP-0NVBQ42"
Audit Success,20/05/2026 21:38:05,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x42A0D

Additional Information:
	Caller Workstation:	DESKTOP-0NVBQ42
	Target Account Name:	Guest
	Target Account Domain:	DESKTOP-0NVBQ42"
Audit Success,20/05/2026 21:38:05,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x42A0D

Additional Information:
	Caller Workstation:	DESKTOP-0NVBQ42
	Target Account Name:	DefaultAccount
	Target Account Domain:	DESKTOP-0NVBQ42"
Audit Success,20/05/2026 21:38:05,Microsoft-Windows-Security-Auditing,4797,User Account Management,"An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x42A0D

Additional Information:
	Caller Workstation:	DESKTOP-0NVBQ42
	Target Account Name:	Administrator
	Target Account Domain:	DESKTOP-0NVBQ42"
Audit Success,20/05/2026 21:37:17,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42
	Logon ID:		0x42A0D

User:
	Security ID:		DESKTOP-0NVBQ42\admin
	Account Name:		admin
	Account Domain:		DESKTOP-0NVBQ42

Process Information:
	Process ID:		0xdcc
	Process Name:		C:\Program Files\Python314\pythonw.exe"
Audit Success,20/05/2026 21:32:31,Microsoft-Windows-Security-Auditing,4672,Special Logon,"Special privileges assigned to new logon.

Subject:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Audit Success,20/05/2026 21:32:31,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		DESKTOP-0NVBQ42$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x2b8
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,20/05/2026 21:32:25,Microsoft-Windows-Security-Auditing,4672,Special Logon,"Special privileges assigned to new logon.

Subject:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
